,0
0,"The Comprehensive Assessment of Psychopathic Personality (CAPP). Stephen Hart (Canada). In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 27. "
1,"The Short-Term Assessment of Risk and Treatability (START): measuring and managing risk in the short-term. Caroline Logan Michael Doylee (UK). In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 29. "
2,"Behaviour in Persons with Intellectual Disability. Anton Došen (Netherlands). In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 30. "
3,"The bulldozer and the ballet dancer: Aspects of nurses’ caring approaches in acute psychiatric intensive care. Anna Björkdahl, Tom Palmstierna, Hansebo Görel. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 31. "
4,"The possibilities and pitfalls in violence risk assessment and management. Patrick Callaghan. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 33. "
5,"Violence and Mandated Community Treatment: The MacArthur Studies. John Monahan. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 34. "
6,"Be the agent of the change you want to see in the world: Reducing restrictive interventions in human services. Sharon Paley. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 39. "
7,"Schizophrenia, treatment adherence, substance use, and violence. Jan Volavka. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 42. "
8,"Measuring and managing short-term risk: Making the START work in practice. Mike Doyle RMN, PhD & Caroline Logan DPhil, Greater Manchester West Mental Health. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 50. "
9,"Markers and prediction of violent behavior in general population. Dr.Marek Susta, PhD. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 57. "
10,"The effective care and control of patients with psychopathic Personality Disorder: challenges and solutions. Professor Stephen D. Hart, PhD, Department of Psychology, Simon Fraser University, Burnaby, BC. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 58. "
11,"Identifying risk of sexual aggression through phallometric testing. Richard J. Howes. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 59. "
12,"Post-stroke anger proneness is related to MAO-A gene in acute stage of stroke. Smi Choi, Namic Kwon. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 63. "
13,"Can mobile skin conductance assessments be helpful in signalling imminent inpatient aggression?. Erik Kuijpers, Henk Nijman, Inge Bongers, Matty Lubberding, Martin Ouwerkerk. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 64. "
14,"Neurobiological aspects of individual violent behaviour. Hans J. Markowitsch, Angelica Staniloiu. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 65. "
15,"The relationship between COMT rs4818 polymorphism and serious violence behavior of male schizophrenic patients in Turkish population: A preliminary report. Ozan Pazvantoðlu, Sezgin Güneþ, Aytül Karabekiroðlu, Ömer Böke, Iþýl Zabun Korkmaz,. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 69. "
16,"Instrumental violence in relation to a selective serotonin reuptake inhibitor. Robertus Cornelis Brouwers, Elisabet Maria Carolina Groenewoud van Nielen, Anthonius. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 73. "
17,"Violence risk assessment: Striking a balance?. Anne Marie Brown, Andrea Thomson. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 76. "
18,"Prevalence, nature and criminal prosecution of aggressive incidents in psychiatry. Joke M. Harte, Mirjam E. van Leeuwen, Ri-janne Theuws. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 80. "
19,"Reasons (not) to report a violent incident in psychiatry to the police. Joke M. Harte, Ri-janne Theuws, Mirjam E. van Leeuwen. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 84. "
20,"Capacity in adult and intellectual disability psychiatry - have we become too leniant?. Peter Lepping, Jon Nash, Roger Banks. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 88. "
21,"Overestimating patients’ capacity. Peter Lepping. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 89. "
22,"Nations Convention on the rights of persons with disabilities. Michael L. Perlin. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 90. "
23,"Coercive and restrictive measures in nursing care of restless and aggressive patients: Theory and Practice. Marie Trešlová, Hana Dohnalová. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 94. "
24,"Analysis of inclusion of violence topic to Brazilian mental health care policy. Fabiana Valadares, Edinilsa Souza. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 98. "
25,"German guardianships, involuntary admissions and physical restraint measures in psychiatry: Implications for community-based psychiatry?. Juan Valdes-Stauber, Reinhold Kilian, Horst Deinert. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 99. "
